Time (Sec);S1;S11;S17;S18;S2;S20;S24;S25;S26;S33;S34;S35;S41;S42;S43;S46;S47;S48;S49;S50;S51;S7;
0.0;19159.9999;19160.0;19160.0;19159.9999;19159.9999;19159.9999;19159.9999;19159.9999;19160.0;19159.9999;19159.9999;19160.0;19159.9999;19159.9999;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;19160.0;
10.0;19159.986439199998;19159.90556959999;19159.9917632;19159.985491999996;19159.986439199998;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.962086399988;19159.96069759999;19159.96069759999;19159.9917632;
10.0;19159.9798088;19159.90556959999;19159.9917632;19159.985491999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.962086399988;19159.96069759999;19159.96069759999;19159.9917632;
10.0;19159.9798088;19159.90556959999;19159.9917632;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.962086399988;19159.96069759999;19159.96069759999;19159.9917632;
10.008584;19159.9798088;19159.90556959999;19159.9917632;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.955679999985;19159.96069759999;19159.96069759999;19159.9917632;
10.008584;19159.9798088;19159.90556959999;19159.9917632;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.951417599983;19159.96069759999;19159.96069759999;19159.9917632;
10.008584;19159.9798088;19159.90556959999;19159.9917632;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.94715519998;19159.96069759999;19159.96069759999;19159.9917632;
10.008584;19159.9798088;19159.90556959999;19159.9917632;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.939103999983;19159.96069759999;19159.96069759999;19159.9917632;
10.009673333333334;19159.9798088;19159.90556959999;19159.9917632;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.939103999983;19159.957265599987;19159.96069759999;19159.9917632;
10.009673333333334;19159.9798088;19159.90556959999;19159.9917632;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.939103999983;19159.953003199986;19159.96069759999;19159.9917632;
10.011721333333334;19159.9798088;19159.90556959999;19159.9917632;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.968196800004;19159.95217279999;19159.95217279999;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
34.72800000000001;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.985491999996;19159.985591999997;19159.9917632;19159.963849600004;19159.95217279999;19159.95217279999;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
34.72800000000001;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.9917632;19159.963849600004;19159.95217279999;19159.95217279999;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
34.73767333333334;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.9917632;19159.963849600004;19159.95217279999;19159.948740799988;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
34.73767333333334;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.9917632;19159.963849600004;19159.95217279999;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
34.740810666666675;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.95217279999;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
35.00000000000001;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.985491999996;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.95217279999;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
35.00000000000001;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.95217279999;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
35.00967333333334;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.948740799988;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
35.00967333333334;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.944478399986;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
35.012810666666674;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.985591999997;19159.989704;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.944478399986;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
41.28900000000001;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.985491999996;19159.989704;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.944478399986;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
41.28900000000001;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.989704;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.944478399986;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
41.29867333333334;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.989704;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.941046399985;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
41.29867333333334;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.989704;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.936783999983;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
41.29867333333334;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.989704;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.928259199984;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
41.301810666666675;19159.9798088;19159.892681599988;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.928259199984;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
41.31161466666668;19159.9798088;19159.888563199987;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.928259199984;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
41.31161466666668;19159.9798088;19159.879091199986;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.985591999997;19159.989704;19159.963849600004;19159.928259199984;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
41.32673466666668;19159.9798088;19159.879091199986;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.985591999997;19159.989704;19159.959273600005;19159.928259199984;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
46.979000000000006;19159.9798088;19159.879091199986;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.985491999996;19159.989704;19159.959273600005;19159.928259199984;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
46.979000000000006;19159.9798088;19159.879091199986;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.989704;19159.959273600005;19159.928259199984;19159.944478399986;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
46.98867333333334;19159.9798088;19159.879091199986;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.989704;19159.959273600005;19159.928259199984;19159.941046399985;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
46.98867333333334;19159.9798088;19159.879091199986;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.989704;19159.959273600005;19159.928259199984;19159.936783999983;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
46.98867333333334;19159.9798088;19159.879091199986;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.989704;19159.959273600005;19159.928259199984;19159.928259199984;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
46.99181066666667;19159.9798088;19159.879091199986;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.9876448;19159.959273600005;19159.928259199984;19159.928259199984;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
47.001614666666676;19159.9798088;19159.874972799986;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.9876448;19159.959273600005;19159.928259199984;19159.928259199984;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
47.001614666666676;19159.9798088;19159.865500799984;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.9876448;19159.959273600005;19159.928259199984;19159.928259199984;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
47.01673466666668;19159.9798088;19159.865500799984;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985591999997;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.9876448;19159.954697600006;19159.928259199984;19159.928259199984;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
49.268000000000015;19159.9798088;19159.865500799984;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.985491999996;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.9876448;19159.954697600006;19159.928259199984;19159.928259199984;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
49.268000000000015;19159.9798088;19159.865500799984;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.978387999996;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.9876448;19159.954697600006;19159.928259199984;19159.928259199984;19159.939103999983;19159.953003199986;19159.96069759999;19159.9876448;
49.27767333333335;19159.9798088;19159.865500799984;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.978387999996;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.9876448;19159.954697600006;19159.928259199984;19159.928259199984;19159.939103999983;19159.953003199986;19159.957265599987;19159.9876448;
49.27767333333335;19159.9798088;19159.865500799984;19159.989704;19159.978387999996;19159.9798088;19159.985591999997;19159.978387999996;19159.985591999997;19159.9917632;19159.978387999996;19159.978387999996;19159.9876448;19159.978387999996;19159.978387999996;19159.9876448;19159.954697600006;19159.928259199984;19159.928259199984;19159.939103999983;19159.953003199986;19159.953003199986;19159.9876448;
