timestamp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22
1634758594578,0.00010000000111176632,0.0,0.0,0.00010000000111176632,0.00010000000111176632,0.00010000000111176632,0.00010000000111176632,0.00010000000111176632,0.0,0.00010000000111176632,0.00010000000111176632,0.0,0.00010000000111176632,0.00010000000111176632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634758609578,0.013460800000757445,0.0944304000113334,0.008236800000304356,0.014408000002731569,0.013460800000757445,0.014408000002731569,0.014408000002731569,0.014408000002731569,0.008236800000304356,0.014408000002731569,0.014408000002731569,0.008236800000304356,0.014408000002731569,0.014408000002731569,0.008236800000304356,0.031803199995920295,0.04782720001094276,0.04782720001094276,0.037913600011961535,0.039302400011365535,0.039302400011365535,0.008236800000304356
1634758609578,0.006630399999266956,0.0,0.0,0.0,0.006630399999266956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634758609578,0.0,0.0,0.0,0.007104000000254018,0.0,0.007104000000254018,0.007104000000254018,0.007104000000254018,0.0,0.007104000000254018,0.007104000000254018,0.0,0.007104000000254018,0.007104000000254018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1634758609587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064064000034704804,0.0,0.0,0.0
1634758609587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042624000016076025,0.0,0.0,0.0
1634758609587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042624000016076025,0.0,0.0,0.0
1634758609587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008051199998590164,0.0,0.0,0.0
1634758609588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006864000002678949,0.006864000002678949,0.0,0.006864000002678949,0.006864000002678949,0.0
1634758609588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042624000016076025,0.0042624000016076025,0.0,0.0042624000016076025,0.0042624000016076025,0.0
