Time (Sec);S1;S11;S17;S18;S2;S20;S24;S25;S26;S33;S34;S35;S41;S42;S43;S46;S47;S48;S49;S50;S51;S7;
720.009673333324;19159.461967999916;19154.955918399803;19159.631403199986;19159.339526399825;19159.351439999904;19159.337231999874;19159.117923199745;19159.272395999862;19159.557271999984;19159.311831199862;19159.284835999806;19159.608751999986;19159.279599999863;19159.459526399856;19159.647876799987;19158.30253280028;19157.689719999464;19157.93018079951;19158.27335679953;19158.0984015995;19157.699662399402;19159.658172799987;
780.0096733333203;19159.418743999908;19154.503220799765;19159.600515199985;19159.270427999803;19159.264991999888;19159.294007999866;19159.025791999717;19159.185947999846;19159.50785119998;19159.283015199857;19159.2560199998;19159.592278399985;19159.193151999847;19159.390427999835;19159.606692799985;19158.150152000304;19157.594065599442;19157.68921439946;19158.076014399478;19157.93758399946;19157.442158399335;19159.619047999986;
840.0096733333197;19159.353907999895;19154.032718399743;19159.577863999984;19159.227203999795;19159.17854399987;19159.26519199986;19158.93366079969;19159.142723999837;19159.46872639998;19159.25419919985;19159.18692159978;19159.567567999984;19159.10670399983;19159.347203999827;19159.567567999984;19157.99182240033;19157.445911999406;19157.454111999406;19157.86245279942;19157.81814399943;19157.234609599283;19159.577863999984;
900.0096733333172;19159.310683999887;19153.575103999727;19159.553153599983;19159.19838799979;19159.092095999855;19159.19609359984;19158.89043679968;19159.113907999832;19159.44607519998;19159.18936319984;19159.09479039975;19159.526383999982;19159.020255999814;19159.278105599806;19159.526383999982;19157.837840000357;19157.202609599353;19157.209356799347;19157.665110399368;19157.688934399397;19157.124167999253;19159.538739199983;
960.0096733333147;19159.245847999875;19153.07109919973;19159.530502399983;19159.169571999784;19159.00564799984;19159.15286959983;19158.82133839966;19159.085091999827;19159.42136479998;19159.14613919983;19159.002659199723;19159.48725919998;19158.933807999798;19159.185974399777;19159.47696319998;19157.668299200388;19156.9741055993;19156.913964799274;19157.451548799312;19157.569967999367;19156.99448479922;19159.49755519998;
1020.0096733333136;19159.202623999867;19152.666441599733;19159.49755519998;19159.100473599763;19158.965265599836;19159.08803359982;19158.77811439965;19159.05627599982;19159.398713599978;19159.117323199825;19158.910527999695;19159.45431199998;19158.89058399979;19159.139908799763;19159.44813439998;19157.532163200412;19156.772601599252;19156.745558399234;19157.303523199273;19157.39802399932;19156.875044799188;19159.46872639998;
1080.0096733333096;19159.137787999854;19152.247491199734;19159.45843039998;19159.057249599755;19158.938343999835;19159.001585599803;19158.749298399645;19158.99143999981;19159.374003199977;19159.08850719982;19158.818396799667;19159.42136479998;19158.825747999777;19159.070810399742;19159.41518719998;19157.391222400438;19156.578419199206;19156.545198399184;19157.17847999924;19157.20341119927;19156.748612799154;19159.44401599998;
1140.0107626666395;19159.094563999846;19151.815652799734;19159.42754239998;19158.988151199734;19158.911422399833;19158.958361599794;19158.72048239964;19158.9482159998;19159.351351999976;19159.023671199808;19158.72626559964;19159.380180799977;19158.78252399977;19158.978679199714;19159.376062399977;19157.245934400464;19156.328140799145;19156.320599999133;19157.070129599208;19157.042593599228;19156.629875199123;19159.42136479998;
1200.0096733333025;19159.067642399845;19151.3786527997;19159.386358399977;19158.896019999705;19158.88450079983;19158.893525599782;19158.691666399634;19158.88337999979;19159.326641599975;19158.93722319979;19158.68304159963;19159.341055999976;19158.717687999757;19158.935455199706;19159.345174399976;19157.098816000485;19156.099657599094;19156.13285119909;19156.986251199185;19156.824391999173;19156.50344319909;19159.404891199978;
1260.0107626666347;19159.002806399832;19150.925955199662;19159.347233599976;19158.852795999697;19158.81966479982;19158.807077599766;19158.622567999613;19158.84015599978;19159.295753599974;19158.850775199775;19158.61394319961;19159.299871999974;19158.67446399975;19158.866356799685;19159.314286399975;19156.94643520051;19155.85503039904;19155.95841599905;19156.82051679914;19156.62634719912;19156.342151999048;19159.371943999977;
